2024/04/19 13:50:11 1713502211.384  78912 192.168.0.101 TCP_TUNNEL/200 33298 CONNECT clients4.google.com:443 - HIER_DIRECT/2404:6800:4004:821::200e -
2024/04/19 13:50:11 1713502211.384  79362 192.168.0.101 TCP_TUNNEL/200 30424 CONNECT optimizationguide-pa.googleapis.com:443 - HIER_DIRECT/2404:6800:4004:80b::200a -
2024/04/19 13:50:11 1713502211.384  66675 192.168.0.101 TCP_TUNNEL/200 54590 CONNECT frs.norton.com:443 - HIER_DIRECT/40.78.48.219 -
2024/04/19 13:50:11 1713502211.384  66655 192.168.0.101 TCP_TUNNEL/200 4456 CONNECT frs.norton.com:443 - HIER_DIRECT/40.78.48.219 -
2024/04/19 13:50:11 1713502211.384  65947 192.168.0.101 TCP_TUNNEL/200 8521 CONNECT clients4.google.com:443 - HIER_DIRECT/2404:6800:4004:821::200e -
2024/04/19 13:50:11 1713502211.384  64664 192.168.0.101 TCP_TUNNEL/200 7458 CONNECT play.google.com:443 - HIER_DIRECT/2404:6800:4004:825::200e -
2024/04/19 13:50:11 1713502211.384  64636 192.168.0.101 TCP_TUNNEL/200 7459 CONNECT play.google.com:443 - HIER_DIRECT/2404:6800:4004:825::200e -
2024/04/19 13:50:11 1713502211.404      1 192.168.0.101 TCP_DENIED/403 3842 CONNECT firebase-settings.crashlytics.com:443 - HIER_NONE/- text/html
2024/04/19 13:50:11 1713502211.693      1 192.168.0.101 TCP_DENIED/403 3851 CONNECT q2xson-cdn-settings.appsflyersdk.com:443 - HIER_NONE/- text/html
2024/04/19 13:50:11 1713502211.721      1 192.168.0.101 TCP_DENIED/403 3800 CONNECT assets.adobedtm.com:443 - HIER_NONE/- text/html
2024/04/19 13:50:11 1713502211.722      1 192.168.0.101 TCP_DENIED/403 3721 CONNECT shepherd.avcdn.net:443 - HIER_NONE/- text/html
2024/04/19 13:50:12 1713502212.012      1 192.168.0.101 TCP_DENIED/403 3851 CONNECT q2xson-cdn-settings.appsflyersdk.com:443 - HIER_NONE/- text/html
2024/04/19 13:50:12 1713502212.186      1 192.168.0.101 TCP_DENIED/403 3830 CONNECT q2xson-dlsdk.appsflyersdk.com:443 - HIER_NONE/- text/html
2024/04/19 13:50:12 1713502212.826      1 192.168.0.101 TCP_DENIED/403 3812 CONNECT sdk-api-v1.singular.net:443 - HIER_NONE/- text/html
2024/04/19 13:50:12 1713502212.827      1 192.168.0.101 TCP_DENIED/403 3812 CONNECT sdk-api-v1.singular.net:443 - HIER_NONE/- text/html
2024/04/19 13:50:12 1713502212.959      1 192.168.0.101 TCP_DENIED/403 3812 CONNECT sdk-api-v1.singular.net:443 - HIER_NONE/- text/html
2024/04/19 13:50:13 1713502213.030      1 192.168.0.101 TCP_DENIED/403 3812 CONNECT sdk-api-v1.singular.net:443 - HIER_NONE/- text/html
2024/04/19 13:50:13 1713502213.053      1 192.168.0.101 TCP_DENIED/403 3812 CONNECT sdk-api-v1.singular.net:443 - HIER_NONE/- text/html
2024/04/19 13:50:13 1713502213.129      1 192.168.0.101 TCP_DENIED/403 3848 CONNECT q2xson-conversions.appsflyersdk.com:443 - HIER_NONE/- text/html
2024/04/19 13:50:13 1713502213.430      1 192.168.0.101 TCP_DENIED/403 3848 CONNECT q2xson-conversions.appsflyersdk.com:443 - HIER_NONE/- text/html
2024/04/19 13:50:13 1713502213.530      1 192.168.0.101 TCP_DENIED/403 3812 CONNECT sdk-api-v1.singular.net:443 - HIER_NONE/- text/html
2024/04/19 13:50:13 1713502213.838   1557 192.168.0.101 TCP_TUNNEL/200 5835 CONNECT stats.norton.com:443 - HIER_DIRECT/52.188.144.172 -
2024/04/19 13:50:15 1713502215.270    920 192.168.0.101 TCP_TUNNEL/200 1619 CONNECT stats.norton.com:443 - HIER_DIRECT/52.188.144.172 -
2024/04/19 13:50:15 1713502215.970      2 192.168.0.101 TCP_DENIED/403 3812 CONNECT sdk-api-v1.singular.net:443 - HIER_NONE/- text/html
2024/04/19 13:50:19 1713502219.035      1 192.168.0.101 TCP_DENIED/403 3812 CONNECT sdk-api-v1.singular.net:443 - HIER_NONE/- text/html
2024/04/19 13:50:22 1713502222.150      1 192.168.0.101 TCP_DENIED/403 3812 CONNECT sdk-api-v1.singular.net:443 - HIER_NONE/- text/html
2024/04/19 13:50:22 1713502222.421      1 192.168.0.101 TCP_DENIED/403 3800 CONNECT app-measurement.com:443 - HIER_NONE/- text/html
2024/04/19 13:50:47 1713502247.596      1 192.168.0.101 TCP_DENIED/403 3812 CONNECT sdk-api-v1.singular.net:443 - HIER_NONE/- text/html
2024/04/19 13:50:47 1713502247.597      1 192.168.0.101 TCP_DENIED/403 3851 CONNECT q2xson-cdn-settings.appsflyersdk.com:443 - HIER_NONE/- text/html
2024/04/19 13:50:47 1713502247.624      1 192.168.0.101 TCP_DENIED/403 3812 CONNECT sdk-api-v1.singular.net:443 - HIER_NONE/- text/html
2024/04/19 13:50:47 1713502247.664      1 192.168.0.101 TCP_DENIED/403 3812 CONNECT sdk-api-v1.singular.net:443 - HIER_NONE/- text/html
2024/04/19 13:50:47 1713502247.944      1 192.168.0.101 TCP_DENIED/403 3848 CONNECT q2xson-conversions.appsflyersdk.com:443 - HIER_NONE/- text/html
2024/04/19 13:50:51 1713502251.199      1 192.168.0.101 TCP_DENIED/403 3812 CONNECT sdk-api-v1.singular.net:443 - HIER_NONE/- text/html
2024/04/19 13:50:51 1713502251.394      2 192.168.0.101 TCP_DENIED/403 3812 CONNECT sdk-api-v1.singular.net:443 - HIER_NONE/- text/html
2024/04/19 13:50:51 1713502251.419      1 192.168.0.101 TCP_DENIED/403 3812 CONNECT sdk-api-v1.singular.net:443 - HIER_NONE/- text/html
2024/04/19 13:50:56 1713502256.280  43474 192.168.0.101 TCP_TUNNEL/200 7377 CONNECT firebaseremoteconfig.googleapis.com:443 - HIER_DIRECT/2404:6800:4004:821::200a -
2024/04/19 13:50:58 1713502258.315      2 192.168.0.101 TCP_DENIED/403 3812 CONNECT sdk-api-v1.singular.net:443 - HIER_NONE/- text/html
2024/04/19 13:50:58 1713502258.408      1 192.168.0.101 TCP_DENIED/403 3875 CONNECT prod1-fe-memex-api-ext.prod.aws.lifelock.com:443 - HIER_NONE/- text/html
2024/04/19 13:50:58 1713502258.656      1 192.168.0.101 TCP_DENIED/403 3812 CONNECT sdk-api-v1.singular.net:443 - HIER_NONE/- text/html
2024/04/19 13:50:58 1713502258.695      1 192.168.0.101 TCP_DENIED/403 3812 CONNECT sdk-api-v1.singular.net:443 - HIER_NONE/- text/html
2024/04/19 13:50:58 1713502258.968      1 192.168.0.101 TCP_DENIED/403 3803 CONNECT ams.honzik.avcdn.net:443 - HIER_NONE/- text/html
2024/04/19 13:50:59 1713502259.199     58 192.168.0.101 TCP_MISS/200 617 GET http://mobilesecuritycore-detection.norton.com/msc-detections/all/network/success.html - HIER_DIRECT/184.27.112.220 text/html
2024/04/19 13:50:59 1713502259.201     65 192.168.0.101 TCP_MISS/200 617 GET http://mobilesecuritycore-detection.norton.com/msc-detections/all/network/success.html - HIER_DIRECT/184.27.112.220 text/html
2024/04/19 13:50:59 1713502259.201     63 192.168.0.101 TCP_MISS/200 617 GET http://mobilesecuritycore-detection.norton.com/msc-detections/all/network/success.html - HIER_DIRECT/184.27.112.220 text/html
2024/04/19 13:50:59 1713502259.201     62 192.168.0.101 TCP_MISS/200 831 GET http://mobilesecuritycore-detection.norton.com/msc-detections/all/network/download.html - HIER_DIRECT/184.27.112.220 text/html
2024/04/19 13:50:59 1713502259.216     32 192.168.0.101 TCP_MISS/200 617 GET http://mobilesecuritycore-detection.norton.com/msc-detections/all/network/success.html - HIER_DIRECT/184.27.112.220 text/html
2024/04/19 13:50:59 1713502259.238     15 192.168.0.101 TCP_MISS/301 305 GET http://mobilesecuritycore-detection.norton.com/secure/welcome - HIER_DIRECT/184.27.112.220 -
2024/04/19 13:50:59 1713502259.468      2 192.168.0.101 TCP_DENIED/403 3718 CONNECT edge.surfeasy.com:443 - HIER_NONE/- text/html
2024/04/19 13:50:59 1713502259.499      2 192.168.0.101 TCP_DENIED/403 3820 GET http://whatismyip.akamai.com/ - HIER_NONE/- text/html
2024/04/19 13:51:00 1713502260.084      1 192.168.0.101 TCP_DENIED/403 3803 CONNECT ams.honzik.avcdn.net:443 - HIER_NONE/- text/html
2024/04/19 13:51:00 1713502260.864      1 192.168.0.101 TCP_DENIED/403 3800 CONNECT app-measurement.com:443 - HIER_NONE/- text/html
2024/04/19 13:51:01 1713502261.249  49795 192.168.0.101 TCP_TUNNEL/200 7198 CONNECT firebaseinstallations.googleapis.com:443 - HIER_DIRECT/2404:6800:4004:822::200a -
2024/04/19 13:51:01 1713502261.638      2 192.168.0.101 TCP_DENIED/403 3874 CONNECT android.apis.google.com:443 - HIER_NONE/- text/html
2024/04/19 13:51:02 1713502262.978  11584 192.168.0.101 TCP_TUNNEL/200 11704 CONNECT cloudconnect2.norton.com:443 - HIER_DIRECT/40.112.243.4 -
2024/04/19 13:51:09 1713502269.229      2 192.168.0.101 TCP_DENIED/403 3827 CONNECT filerep-replica.ff.avast.com:443 - HIER_NONE/- text/html
